InternetLite Charges for 2/11

Customer # --|-- Hours Used --|-- Total Charge --|-- Average Cost
1		   --|-- 10			--|-- $7.99		   --|-- $0.80
2		   --|-- 21			--|-- $29.88		   --|-- $1.42
3		   --|-- 14			--|-- $15.95		   --|-- $1.14
4		   --|-- 5			--|-- $7.99		   --|-- $1.60
5		   --|-- 272			--|-- $529.37		   --|-- $1.95
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
6		   --|-- 10			--|-- $7.99		   --|-- $0.80
